subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log
41585,3,0,11.424740856709946,220.185,114.354,0.00825642,67864.9,57983.9,54203.4,692.548,559.522,-184.76,171004671469036.03,14.233007974517964
41586,3,0,11.824696603099643,275.388,36.8241,0.0131177,67664.0,60223.2,54451.6,1171.07,-403.404,-931.479,171004671469036.03,14.233007974517964
41587,3,0,11.135231273977322,173.463,92.4216,0.00878246,68486.7,60206.3,54089.0,-181.008,-651.56,-499.216,171004671469036.03,14.233007974517964
41588,3,0,11.00881508224165,134.058,76.5128,0.0160582,68367.8,59800.4,54575.7,-272.142,-972.913,-232.196,171004671469036.03,14.233007974517964
41589,3,0,10.959556800229759,124.997,38.4516,0.0113392,67470.4,56749.9,53708.0,607.145,535.763,-115.273,171004671469036.03,14.233007974517964
41590,3,0,11.138210833483752,159.79,10.6487,0.0102139,66712.6,56589.0,54044.7,653.195,180.819,-591.58,171004671469036.03,14.233007974517964
41591,3,0,10.975427059448513,128.78,21.9624,0.0,67969.8,59987.5,54004.3,-31.1715,-119.138,376.828,171004671469036.03,14.233007974517964
96500,10,1,12.24310765038993,477.033,389.128,0.00662774,58440.3,619.37,38193.2,58.7141,98.9214,87.2429,163114135850310.0,14.212491599640911
96501,10,0,11.18693082332117,174.605,103.476,0.0149301,59875.3,616.624,38424.1,-581.398,224.008,-168.652,163114135850310.0,14.212491599640911
96502,10,0,10.934146438277196,174.099,54.2524,0.00618633,59572.4,885.928,38284.6,-644.406,113.521,-380.423,163114135850310.0,14.212491599640911
96503,10,0,10.9189258963375,128.576,58.3111,0.0162145,59454.2,1460.57,38407.1,-378.673,-390.593,-337.897,163114135850310.0,14.212491599640911
96504,10,0,11.138055971863881,158.953,28.5778,0.0151222,58240.3,279.937,38347.1,-515.483,-111.169,991.592,163114135850310.0,14.212491599640911
96505,10,0,10.7376193764295,118.574,37.7076,0.0150912,59038.0,1201.27,38349.5,-254.961,-845.621,-148.87,163114135850310.0,14.212491599640911
96506,10,0,11.120231866025694,138.589,10.8969,0.0,58898.5,678.594,38302.2,478.794,509.771,172.932,163114135850310.0,14.212491599640911
96507,10,0,10.680899172195431,106.847,42.6505,0.0117011,59052.7,513.207,37460.7,-296.663,-755.167,2.3887,163114135850310.0,14.212491599640911
96508,10,0,10.939672504767556,118.128,24.9487,0.0207123,57580.0,36.5143,38081.2,305.715,445.334,100.314,163114135850310.0,14.212491599640911
96509,10,0,10.709020954847803,115.435,34.2513,0.0,57288.5,384.382,38407.1,-19.4784,-49.3365,196.182,163114135850310.0,14.212491599640911
102683,11,1,12.203161252662921,441.476,354.434,0.00679785,24088.5,36102.9,43269.2,-179.686,-108.71,-15.1939,131414706621826.1,14.118643969845591
102684,11,0,11.58379896934727,246.273,21.5164,0.0,24096.3,35903.9,43318.7,-166.282,-293.519,708.846,131414706621826.1,14.118643969845591
102685,11,0,10.945414937109172,119.971,35.9758,0.0240321,24145.6,36551.8,44113.6,-689.224,-74.7708,-319.006,131414706621826.1,14.118643969845591
102686,11,0,10.901423086538127,119.916,35.0144,0.0300984,23279.0,34832.9,42922.6,59.1443,-197.372,-192.691,131414706621826.1,14.118643969845591
102687,11,0,10.622445621159496,103.288,45.7037,0.0130896,23244.1,34769.7,43207.7,-652.251,313.347,192.737,131414706621826.1,14.118643969845591
102688,11,0,10.843744084990236,107.895,26.812,0.0187108,23936.1,34732.5,42731.5,-227.901,-146.637,144.957,131414706621826.1,14.118643969845591
102689,11,0,10.751210212254334,102.693,30.1493,0.0395591,23223.8,35352.7,43247.9,-153.031,-633.504,-301.416,131414706621826.1,14.118643969845591
102690,11,0,10.620944312423786,94.1677,24.2859,0.0171129,24055.5,37161.7,43787.1,-380.938,443.926,-363.832,131414706621826.1,14.118643969845591
102691,11,0,10.754234093022264,121.379,10.7418,0.0,24144.9,36282.2,43546.9,90.5924,-665.472,332.567,131414706621826.1,14.118643969845591
102692,11,0,10.561327477997676,131.808,13.9701,0.0,24180.8,35998.1,43139.5,1123.61,-872.485,137.999,131414706621826.1,14.118643969845591
118679,14,1,12.073684264163923,409.968,331.759,0.00547263,55535.1,7682.91,35531.9,182.18,-192.79,125.924,114381692062481.55,14.058356516830022
118680,14,0,10.784698767197634,149.214,22.62,0.0,56075.7,7841.08,35635.2,209.593,-496.59,55.0077,114381692062481.55,14.058356516830022
118681,14,0,10.958661486077432,125.306,9.579,0.0277957,55329.7,7314.33,35722.1,176.252,-43.5769,43.0446,114381692062481.55,14.058356516830022
118682,14,0,10.988965818004516,175.266,2.9147,0.0,55571.3,7759.28,35516.2,155.88,-506.997,227.4,114381692062481.55,14.058356516830022
118683,14,0,10.844139883714238,126.405,12.7995,0.0,55216.8,7409.07,35305.1,195.229,40.4757,219.566,114381692062481.55,14.058356516830022
118684,14,0,10.643936161215294,114.98,21.8364,0.0,56107.5,8360.15,35594.5,815.894,-193.037,361.013,114381692062481.55,14.058356516830022
118685,14,0,10.165817055857863,74.4781,37.0734,0.0202249,55787.2,8614.15,35222.1,-216.387,-426.495,721.072,114381692062481.55,14.058356516830022
118686,14,0,10.087350858093654,85.4271,22.4252,0.0156194,56069.7,7448.6,35528.0,256.656,-62.6945,-788.332,114381692062481.55,14.058356516830022
118687,14,0,10.377676780622823,81.909,16.8087,0.0385385,56107.5,8826.5,35438.3,-43.1072,-224.441,244.024,114381692062481.55,14.058356516830022
118688,14,0,10.104074219499736,75.8801,15.4813,0.040154,55382.2,8411.58,35637.9,868.044,107.327,121.802,114381692062481.55,14.058356516830022
121863,15,1,11.98123418684144,394.671,353.721,0.00496204,52325.4,70909.4,41840.8,-53.2823,88.4081,-47.5892,109236199531296.12,14.038366582063647
121864,15,0,11.342830474568157,181.387,43.4599,0.0163719,52353.2,71331.6,41420.5,4.0332,-130.606,-70.1528,109236199531296.12,14.038366582063647
121865,15,0,10.933682867505578,121.01,44.409,0.0157943,53089.8,70864.8,41178.7,560.626,105.241,12.5826,109236199531296.12,14.038366582063647
121866,15,0,10.919551336094171,123.831,26.451,0.0205337,52829.4,71150.9,41799.7,-138.316,128.1,384.771,109236199531296.12,14.038366582063647
121867,15,0,10.264627536027294,81.4859,37.5619,0.0116163,52491.8,70158.7,41206.4,-415.31,54.1852,491.523,109236199531296.12,14.038366582063647
121868,15,0,10.825275059416173,136.979,4.0723,0.0,52297.8,70844.8,41862.5,6.7706,1087.5,-747.51,109236199531296.12,14.038366582063647
121869,15,0,10.351024109679747,90.0242,21.8519,0.0197533,52423.0,70895.5,41515.7,-1061.34,626.348,163.6,109236199531296.12,14.038366582063647
